case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
19au-cr00407-01,ooc_warrant_-_audrain_co_-_poss_cont_subt_x2_unlawf_drug_par,,"5,000.00",c/s,,,
16au-cr00782-01,ooc_warrant_-_audrain_co_-_burglary_2nd_&_stealing,,"5,000.00",c/s,,,
19ba-cr01442,fojo_dom._aslt_4th,,"8,000.00",c/s,05/13/2020,09:00,d05
19ba-cr00600-01,assault_1st_degree_or_attempt,,"50,000.00",cash,02/03/2020,09:00,
19ba-cr00600-01,armed_criminal_action,,"25,000.00",cash,02/03/2020,09:00,
a459955733,us_marshal_hold_(jail),,.00,nobd,,,
19ba-cr00600-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_mv,,"20,000.00",cash,02/03/2020,09:00,
19ba-cr00600-01,unlawful_possession_of_a_firearm,,"5,000.00",cash,02/03/2020,09:00,
30355-045,us_marshal_hold_(jail),,.00,nobd,,,
19ba-cr01761-01,damage_to_jail/jail_property,,"10,000.00",c/s,04/20/2020,09:00,
20ba-cr00174,"assault_-_4th_deg_-_pursuant_to_subdivision_(2),_(4)",,"1,000.00",c/s,06/03/2020,09:00,
19ba-cr04300,abuse_or_neglect_of_a_child_-_serious_emotional_or,,.00,c/s,03/02/2020,13:30,
19ba-cr04300,abuse_or_neglect_of_a_child_under_section_568.060.5(1),,.00,c/s,02/26/2020,13:30,
19ba-cr04300,armed_criminal_action,,.00,c/s,02/26/2020,13:30,
19ba-cr04300,endangering_the_welfare_of_a_child_creating_substantial_risk,,.00,c/s,02/26/2020,13:30,
19ba-cr04300,endangering_the_welfare_of_a_child_creating_substantial_risk,,"110,000.00",c/s,02/26/2020,13:30,
19ba-cr00316-01,fta:_tamp_mtr_veh_1st,,"10,000.00",c/s,02/18/2020,09:00,d03
19cwcr02080,ooc/callaway/fta:_no_license,,100.00,c/s,,,oth
20ba-cr00662-01,resisting/interfering_with_arrest_for_a_felony,,"3,000.00",c/s,04/27/2020,13:30,
20ba-cr00662-01,unlawful_possession_of_drug_paraphernalia,,.00,c/s,04/27/2020,13:30,
19ba-cr04494-01,fta:_burglary_1st,,"5,000.00",c/s,04/06/2020,09:00,
19ba-cr02006-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,"40,000.00",cash,02/18/2020,13:30,
19ba-cr02006-01,armed_criminal_action,,"20,000.00",cash,02/18/2020,13:30,
